term	class_number	class_status	tuition	start_date	end_date	faculty	location	room	days	start_time	end_time	comments	title	course_description	prerequisites	major_division	minor_division	cluster	hours	session	cluster_description	catalogpghdr	suffixdesc
2005SP	BUSG-1093-22212	Froz	$129.00 	2/7/2005	2/7/2005	Kaplan	BHC	TBA	M	1/0/1900	1/0/1900		Faith-Based Initiatives:  Leveraging the Sleeping	"Although some of the new federal faith-based initiative rhetoric is held suspect by tenured leaders in both churches and not-for-profits, those of us in the nonprofit community may be able to take the new federal focus on faith-based groups and make it work to the advantage of our organizations.  This seminar is about leveraging this opportunity and capacity building through faith-based initiative partnerships.  Almost 25 years ago, Marlene Wilson wrote an article in what was then Voluntary Action Leadership magazine entitled ""Religion: The Sleeping Giant."" In it she spoke of the enormous potential of churches, synagogues, mosques and meetings to mobilize thousands of volunteers, acting on their faith and moral principles, to tackle social needs. Can we help them?  Can we join them?  This seminar offers a three-step approach to environmental scanning and developing partnerships. $99 for members of the Center For Nonprofit Management and $129 for nonmembers. Tuition includes lunch."		BUSINESS		Faith-Based Initiatives	7	0			"INSTRUCTOR:    Dr. Cindi Love is the Executive Dean of Corporate & Continuing Education of Brookhaven College, named the seventh fastest growing Comprehensive community college in the United States in 2002.  She is also the Coordinator of Advocacy Services for the Shelton Foundation, a program serving chronically disabled adults in West Texas and Chairman of the Board of the Metropolitan Community Churches world-wide, a denomination of 300+ churches in 26 countries.  She is an ordained minister of MCC.  Prior to coming to Brookhaven, Dr. Love was a senior executive of global customer support systems with The Toro Company in Minneapolis."
2005SP	FITT-2037-22001	Open	$375.00 	1/22/2005	3/12/2005	Diomampo	BHC	TBA	S	1/0/1900	1/0/1900		Certified Personal Trainer Course and Exam	"Brookhaven College provides an affordable, convenient, comprehensive and applicable education required to attain the National Federation of Professional Trainers Certification. NFPT certification credentials are internationally recognized. The student will complete an orientation session, 30 hours of course work and a two hour examination. Upon sucessful completion of course work and examination, students will be awarded their credentials. The course includes a study of the aspects of one-on-one training including marketing, program development, legal aspects, documentation, training methodologies, and business considerations, with an emphasis on the development of safe and enjoyable individualized training sessions."		Personal Trainer			32	8			
2005SP	FITT-2037-23002	Open	$375.00 	4/2/2005	5/21/2005	Diomampo	BHC	TBA	S	1/0/1900	1/0/1900		Certified Personal Trainer Course and Exam	"Brookhaven College provides an affordable, convenient, comprehensive and applicable education required to attain the National Federation of Professional Trainers Certification. NFPT certification credentials are internationally recognized. The student will complete an orientation session, 30 hours of course work and a two hour examination. Upon sucessful completion of course work and examination, students will be awarded their credentials. The course includes a study of the aspects of one-on-one training including marketing, program development, legal aspects, documentation, training methodologies, and business considerations, with an emphasis on the development of safe and enjoyable individualized training sessions."		Personal Trainer			32	8			
2005SP	HRPO-1091-23002	Open	$95.00 	4/2/2005	4/23/2005	Hobson	BHC	TBA	S	1/0/1900	1/0/1900		Workplace Conflict Reduction and Solutions	"This course is designed to assist learners with the tools necessary to implement a workplace conflict reduction course within an organization.  Areas of focus include:  identifying techniques to recognize areas of conflict, designing methodologies to allow conflict to be resolved and increase areas of compromise.  Highlights of the course include identifying the financial impact of workplace conflict, and building better workplace relationships."		BUSINESS		Human Resource Management	32	3			
2005SP	HRPO-1091-23003	Open	$55.00 	3/5/2005	3/19/2005	Benton	BHC	TBA	S	1/0/1900	1/0/1900		Implementing Family Mediation in Religious Setting	"This course will include basic training and understanding in Family Mediation. Training will include 24 hours of Family Mediation Training, which meets the guidelines for statutory training in the State of Texas.  Nine hours of the training include implementation strategies and development of a Family Mediation Program in a religious setting, based on the religions' pecific truths and practices.  Students must have some knowledge of their specific religious ""setting"" in order to complete the course. 40-hour Mediation Statutory Training preferred and suggested."		BUSINESS		Human Resource Management	24	2			
2005SP	HRPO-1092-22001	Open	$95.00 	2/4/2005	2/26/2005	Benton	BHC	TBA	F	1/0/1900	1/0/1900		Comprehensive Introduction to Mediation	"Using case studies, students will analyze mediation in which a third party neutral facilitates the resolution of disputes.  Role-play, lectures, discussions and videos will be used to attain the basic knowledge needed for beginning mediation skills. This course meets the Texas statutory requirement for certification per Texas Senate Bill No. 1436."		BUSINESS		Human Resource Management	40	19			
2005SP	HECO-1004-22040	Open	$40.00 	2/8/2005	2/8/2005	Orso	BHEC	006	T	1/0/1900	1/0/1900		Cooking with Wine	Nothing enhances the taste of food like wine.  Learn how to cook a variety of recipes focused on techniques with wine.  Discover which wines will accentuate certain foods and which won't.  Students will be exposed to the different uses and functions of wine.		Cooking		Cooking	3	1	Learn Cooking techniques through demonstration and hands-on group experience.		
2005SP	RELE-1002-22307	Open	$149.00 	2/5/2005	2/13/2005	Ray	BHOC	TBA	SU	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-22308	Open	$149.00 	2/19/2005	2/27/2005	Ray	BHOC	TBA	SU	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-23309	Open	$149.00 	4/11/2005	4/14/2005	Ray	BHOC	TBA	MTWR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-23310	Open	$149.00 	4/18/2005	4/21/2005	Ray	BHOC	TBA	MTWR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-23311	Open	$149.00 	4/30/2005	5/15/2005	Ray	BHOC	TBA	SU	1/0/1900	1/0/1900	"Class will not meet May 7 or May 8, Mother's Day"	RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-23312	Open	$149.00 	5/2/2005	5/5/2005	Ray	BHOC	TBA	MTWR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-23313	Open	$149.00 	5/9/2005	5/12/2005	Ray	BHOC	TBA	MTWR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1002-23314	Open	$149.00 	5/21/2005	5/29/2005	Ray	BHOC	TBA	SU	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	RELE-1091-22314	Open	$139.00 	1/8/2005	1/9/2005	Ray	BHOC	TBA	SU	1/0/1900	1/0/1900		Mortgage Origination	"This 15-hour course is approved by the Texas Savings and Loan Department (TSLD) and can be used as credit for Mortgage Professional licensing. Already a licensed Loan Officer or Mortgage Broker? Mortgage Origination also meets your 15-hour Continuing Education requirement. Highlights of the course include: Basics of loan programs, rules and regulations, disclosures and loan submission process, program types, pricing, closing and funding."		Real Estate		Real Estate Seminars and Workshops	15	1			
2005SP	RELE-1091-23315	Open	$139.00 	3/28/2005	3/29/2005	Ray	BHOC	TBA	MT	1/0/1900	1/0/1900		Mortgage Origination	"This 15-hour course is approved by the Texas Savings and Loan Department (TSLD) and can be used as credit for Mortgage Professional licensing. Already a licensed Loan Officer or Mortgage Broker? Mortgage Origination also meets your 15-hour Continuing Education requirement. Highlights of the course include: Basics of loan programs, rules and regulations, disclosures and loan submission process, program types, pricing, closing and funding."		Real Estate		Real Estate Seminars and Workshops	15	1			
2005SP	RELE-1091-23316	Open	$139.00 	4/23/2005	4/24/2005	Ray	BHOC	TBA	SU	1/0/1900	1/0/1900		Mortgage Origination	"This 15-hour course is approved by the Texas Savings and Loan Department (TSLD) and can be used as credit for Mortgage Professional licensing. Already a licensed Loan Officer or Mortgage Broker? Mortgage Origination also meets your 15-hour Continuing Education requirement. Highlights of the course include: Basics of loan programs, rules and regulations, disclosures and loan submission process, program types, pricing, closing and funding."		Real Estate		Real Estate Seminars and Workshops	15	1			
2005SP	RELE-1091-23317	Open	$139.00 	5/23/2005	5/24/2005	Ray	BHOC	TBA	MT	1/0/1900	1/0/1900		Mortgage Origination	"This 15-hour course is approved by the Texas Savings and Loan Department (TSLD) and can be used as credit for Mortgage Professional licensing. Already a licensed Loan Officer or Mortgage Broker? Mortgage Origination also meets your 15-hour Continuing Education requirement. Highlights of the course include: Basics of loan programs, rules and regulations, disclosures and loan submission process, program types, pricing, closing and funding."		Real Estate		Real Estate Seminars and Workshops	15	1			
2005SP	RELE-1026-22318	Open	$149.00 	1/31/2005	2/3/2005	Ray	BHOC	TBA	MTRS	1/0/1900	1/0/1900		RE: MATH	"Prior math is not necessary. This CORE real estate course prepares you for the real estate exam and for all common real estate transactions. You will use basic arithmetic skills and mathematical logic.  You’ll learn how to figure sales prices, commissions, list prices and net prices, and how to work with fractions, decimals and percentages in calculating interest, time-valued money, depreciation, amortization. This knowledge simplifies land measurements, escrows, mortgage loans, proration and estimation of closing statement items like taxes, insurance and rents."		Real Estate		Real Estate at Leonard Hawes	30	3	Real Esate courses taught in conjunction with Leonard-Hawes.		"Leonard-Hawes Real Estate School, 4100 Midway Road, #1055 Carrollton, Tx. 75007"
2005SP	BUSG-1024-23320	Open	$149.00 	3/14/2005	3/17/2005	Ray	BHOC	TBA	MTWR	1/0/1900	1/0/1900		Innovative Real Estate Brokerage	"If you aspire to owning your own brokerage or simply wish to improve your current company, this course is for you!  Discover the professional secrets of how to own, operate and manage a real estate office, from the concept of creating a business blueprint, to risk reduction, recruiting, training, advertising and promotion."		Real Estate		Management	30	3			
2005SP	TEST-1004-22035	Open	$40.00 	2/5/2005	2/26/2005	Black	BHEC	010	S	1/0/1900	1/0/1900		GED Preparation: Math	"Test preparation for the math portion of the General Educational Development exam. This course provides a review of math and includes problem solving in fractions, decimals, percentages, measurements, ratios, proportions and graphs. Instruction in test-taking procedures is also addressed. The text and Casio FX-260 calculator are needed for the first class meeting."		Test Preparation		TEST PREPARATION	12	4			
2005SP	COMG-1003-22201	Open	$98.00 	1/10/2005	2/11/2005		BHEC	010	MTWRF	1/0/1900	1/0/1900	12 lab hours at student's convenience.	Communication Skills for the Workplace	"This course is designed for students who have never studied English and who have limited skills in their first language.  Classes concentrate on pronunciation along with learning the English alphabet, numbers, every day activities and work skills.  Addresses essential listening, speaking, reading, writing, and computational skills required by business and industry. Improve communication skills as well as study skills to enhance job performance.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	48	24			
2005SP	DNTA-1091-22001	Open	"$2,195.00 "	1/11/2005	3/17/2005	Goodowitz	ODCF	TBA	TR	1/0/1900	1/0/1900	First session is held at CCCC Courtyard Center	Dental Assisting	"The Dental Assisting Program is designed to prepare the student to function effectively as an integral member of the dental health care team. Stimulating, fast paced instruction relies heavily on student participation.  Courses provide classroom instruction and basic clinical assisting skills.  During the ten weeks of education training, students will learn the techniques of: dental theory and terminology, four-handed chairside procedures, exposing and processing dental radiographs (x-rays), introduction to digital and panoramic radiology, infection control standards, obtaining impressions of the oral cavity for the fabrication of study models and custom trays used for vital bleaching procedures, preparing dental material, and fabrication of provisional coverage (temporary crowns).  This course includes assisting and observing in a participating dental office.  The Dental Assisting Program is designed to help prepare the student for the Texas Certification in: Radiology, Infection Control and Jurisprudence.  One-time tuition  covers instruction, materials, textbook, and dental supplies/equipment.  The first session is held at Collin County Community College, Courtyard Center, 4800 Preston Park Blvd, Plano 75093. Clinical labs are held at the Dental Careers Foundation"	Ability to read English at 12-grade level. High School diploma or GED.	Medical Services/Allied H			70	19			
2005SP	DNTA-1091-22002	Open	"$2,195.00 "	1/14/2005	3/18/2005	Goodowitz	ODCF	TBA	F	1/0/1900	1/0/1900	First session is held at CCCC Courtyard Center	Dental Assisting	"The Dental Assisting Program is designed to prepare the student to function effectively as an integral member of the dental health care team. Stimulating, fast paced instruction relies heavily on student participation.  Courses provide classroom instruction and basic clinical assisting skills.  During the ten weeks of education training, students will learn the techniques of: dental theory and terminology, four-handed chairside procedures, exposing and processing dental radiographs (x-rays), introduction to digital and panoramic radiology, infection control standards, obtaining impressions of the oral cavity for the fabrication of study models and custom trays used for vital bleaching procedures, preparing dental material, and fabrication of provisional coverage (temporary crowns).  This course includes assisting and observing in a participating dental office.  The Dental Assisting Program is designed to help prepare the student for the Texas Certification in: Radiology, Infection Control and Jurisprudence.  One-time tuition  covers instruction, materials, textbook, and dental supplies/equipment.  The first session is held at Collin County Community College, Courtyard Center, 4800 Preston Park Blvd, Plano 75093. Clinical labs are held at the Dental Careers Foundation"	Ability to read English at 12-grade level. High School diploma or GED.	Medical Services/Allied H			70	8			
2005SP	OPTS-1001-22001	Open	"$1,895.00 "	1/24/2005	4/6/2005		OCCC	TBA	MW	1/0/1900	1/0/1900	Class will not meet 3/7-3/9.  20 hours of hands-	Optician Training	"This course prepares the student for a rewarding career in the vision care industry, and is designed for those who are already in the industry who wish to prepare for the American Board of Opticianry National Exam.  The course will cover Anatomy and Physiology of the eye, basic optics, lens form analysis, lens materials coatings, multifocal designs, ophthalmic frames, instrumentation and regulation standards. Students will also learn basic sales and frame styling techniques, and insurance billing.  Included will be externship sites where students can get hands on experience.  An optician would be employed by private Ophthalmologists, Optometrists, Optical stores or Corporate Opticals such as Pearl Vision, Sears Opticals,    Target Opticals, Lenscrafters, Eyemasters and many more.  Externships will be at optical stores/to be scheduled with instructor.  Hours:  80"		Medical Services/Allied H			80	26			
2005SP	EMSP-1019-22001	Open	$45.00 	1/7/2005	1/7/2005	Collins	BHE2	204D	F	1/0/1900	1/0/1900		Basic Cardiac Life Support/Health Care Providers	"Adult, child and infant one-rescuer CPR and foreign body airway obstruction, adult two-rescuer CPR and mouth-to-mask/BVM ventilation.  A completion card is issued upon passing a written evaluation and skill performance.  This course satisfies nursing school admission requirements."		Medical Services/Allied H		Certifications for EMT's and Paramedics	8	0	"Brookhaven College offers certification courses for physicians, paramedics, nurses and other allied medical personnel.  Courses offered range from ACLS, PALS, PHTLS and PEPP.  15 CEU's are awarded for two day classes.  7.5 CEU's awarded for Fast Track ACLS.  Basic Cardiac Life Support courses satisfying Nursing School admission requirements also offered."		Brookhaven College also offers Paramedic Refresher courses as well as National Registry Exams.  Please call 972-860 -4775 for more details.
2005SP	EMSP-1019-22002	Open	$45.00 	1/13/2005	1/13/2005	Collins	BHE2	204D	R	1/0/1900	1/0/1900		Basic Cardiac Life Support/Health Care Providers	"Adult, child and infant one-rescuer CPR and foreign body airway obstruction, adult two-rescuer CPR and mouth-to-mask/BVM ventilation.  A completion card is issued upon passing a written evaluation and skill performance.  This course satisfies nursing school admission requirements."		Medical Services/Allied H		Certifications for EMT's and Paramedics	8	0	"Brookhaven College offers certification courses for physicians, paramedics, nurses and other allied medical personnel.  Courses offered range from ACLS, PALS, PHTLS and PEPP.  15 CEU's are awarded for two day classes.  7.5 CEU's awarded for Fast Track ACLS.  Basic Cardiac Life Support courses satisfying Nursing School admission requirements also offered."		Brookhaven College also offers Paramedic Refresher courses as well as National Registry Exams.  Please call 972-860 -4775 for more details.
2005SP	EMSP-1019-22003	Open	$45.00 	1/22/2005	1/22/2005	Collins	BHE2	204D	S	1/0/1900	1/0/1900		Basic Cardiac Life Support/Health Care Providers	"Adult, child and infant one-rescuer CPR and foreign body airway obstruction, adult two-rescuer CPR and mouth-to-mask/BVM ventilation.  A completion card is issued upon passing a written evaluation and skill performance.  This course satisfies nursing school admission requirements."		Medical Services/Allied H		Certifications for EMT's and Paramedics	8	0	"Brookhaven College offers certification courses for physicians, paramedics, nurses and other allied medical personnel.  Courses offered range from ACLS, PALS, PHTLS and PEPP.  15 CEU's are awarded for two day classes.  7.5 CEU's awarded for Fast Track ACLS.  Basic Cardiac Life Support courses satisfying Nursing School admission requirements also offered."		Brookhaven College also offers Paramedic Refresher courses as well as National Registry Exams.  Please call 972-860 -4775 for more details.
